Channel Current [A]	Channel Voltage [V]	Gate Leakage [A]	Gate Voltage [V]
1.29938e-10	0.0	3.61537e-12	0.0
1.12057e-10	-1.0	-2.5804e-12	0.0
1.06096e-10	-2.0	-2.61452e-12	0.0
1.19209e-10	-3.0	3.92641e-12	0.0
1.01328e-10	-4.0	-4.07822e-12	0.0
1.0848e-10	-5.0	6.83271e-12	0.0
1.16825e-10	-6.0	-3.04307e-12	0.0
1.09673e-10	-7.0	-1.04574e-12	0.0
1.06096e-10	-8.0	3.5923e-12	0.0
1.22786e-10	-9.0	-3.06798e-12	0.0
1.21593e-10	-10.0	4.41411e-12	0.0
1.34706e-10	-11.0	-3.55874e-12	0.0
1.21593e-10	-12.0	6.48811e-12	0.0
1.20401e-10	-13.0	-2.53682e-12	0.0
1.18017e-10	-14.0	-5.03349e-13	0.0
1.23978e-10	-15.0	4.83959e-12	0.0
1.23978e-10	-16.0	-1.19293e-12	0.0
1.12057e-10	-17.0	7.46452e-12	0.0
1.19209e-10	-18.0	-1.58964e-12	0.0
1.13249e-10	-19.0	7.79105e-12	0.0
1.27554e-10	-20.0	1.07433e-12	0.0
1.00136e-10	-21.0	2.46698e-12	0.0
9.53674e-11	-22.0	9.06067e-12	0.0
1.0848e-10	-23.0	3.16486e-12	0.0
1.00136e-10	-24.0	1.25756e-11	0.0
9.17912e-11	-25.0	4.4818e-12	0.0
9.17912e-11	-26.0	8.11908e-12	0.0
9.41753e-11	-27.0	1.37052e-11	0.0
9.77516e-11	-28.0	8.54465e-12	0.0
9.41753e-11	-29.0	1.77027e-11	0.0
9.65595e-11	-30.0	1.0066e-11	0.0
8.58307e-11	-31.0	2.08207e-11	0.0
8.22544e-11	-32.0	1.13471e-11	0.0
9.77516e-11	-33.0	1.34627e-11	0.0
7.98702e-11	-34.0	1.99632e-11	0.0
7.15256e-11	-35.0	1.53106e-11	0.0
7.39098e-11	-36.0	2.50759e-11	0.0
5.48363e-11	-37.0	1.76524e-11	0.0
5.60284e-11	-38.0	2.40954e-11	0.0
4.76837e-11	-39.0	2.50082e-11	0.0
2.38419e-11	-40.0	2.6756e-11	0.0
7.15256e-12	-41.0	3.6074e-11	0.0
-1.07288e-11	-42.0	3.26295e-11	0.0
-2.26498e-11	-43.0	4.45962e-11	0.0
-7.51018e-11	-44.0	3.82839e-11	0.0
-1.21593e-10	-45.0	4.97761e-11	0.0
-1.70469e-10	-46.0	5.25953e-11	0.0
-2.24113e-10	-47.0	5.27047e-11	0.0
-3.02792e-10	-48.0	6.51807e-11	0.0
-3.8147e-10	-49.0	5.97969e-11	0.0
-4.66108e-10	-50.0	7.28655e-11	0.0
-5.76973e-10	-51.0	6.81777e-11	0.0
-7.236e-10	-52.0	7.81657e-11	0.0
-8.67844e-10	-53.0	8.2417e-11	0.0
-1.03593e-09	-54.0	8.19364e-11	0.0
-1.20878e-09	-55.0	9.5257e-11	0.0
-1.39952e-09	-56.0	9.03629e-11	0.0
-1.62125e-09	-57.0	9.11577e-11	0.0
-1.77979e-09	-58.0	1.01713e-10	0.0
-2.08139e-09	-59.0	1.1091e-10	0.0
-2.3675e-09	-60.0	1.17691e-10	0.0
-2.68817e-09	-61.0	1.22861e-10	0.0
-3.02672e-09	-62.0	1.30871e-10	0.0
-3.38554e-09	-63.0	1.37082e-10	0.0
-3.76105e-09	-64.0	1.43281e-10	0.0
-4.16279e-09	-65.0	1.49138e-10	0.0
-4.56929e-09	-66.0	1.5474e-10	0.0
-4.99606e-09	-67.0	1.58591e-10	0.0
-5.4574e-09	-68.0	1.65678e-10	0.0
-5.93305e-09	-69.0	1.69254e-10	0.0
-6.43373e-09	-70.0	1.7281e-10	0.0
-6.92368e-09	-71.0	1.8e-10	0.0
-7.44462e-09	-72.0	1.83426e-10	0.0
-8.01325e-09	-73.0	1.87595e-10	0.0
-8.56042e-09	-74.0	1.91592e-10	0.0
-9.14931e-09	-75.0	1.97431e-10	0.0
-9.71556e-09	-76.0	1.99959e-10	0.0
-1.03164e-08	-77.0	2.07464e-10	0.0
-1.09744e-08	-78.0	2.11242e-10	0.0
-1.15943e-08	-79.0	2.16486e-10	0.0
-1.22499e-08	-80.0	2.2123e-10	0.0
-1.29664e-08	-81.0	2.22648e-10	0.0
-1.36375e-08	-82.0	2.31295e-10	0.0
-1.43087e-08	-83.0	2.31409e-10	0.0
-1.50061e-08	-84.0	2.38679e-10	0.0
-1.57607e-08	-85.0	2.42353e-10	0.0
-1.65057e-08	-86.0	2.45112e-10	0.0
-1.72448e-08	-87.0	2.50443e-10	0.0
-1.8003e-08	-88.0	2.51278e-10	0.0
-1.8785e-08	-89.0	2.57165e-10	0.0
-1.95587e-08	-90.0	2.59856e-10	0.0
-2.03431e-08	-91.0	2.66524e-10	0.0
-2.1162e-08	-92.0	2.70847e-10	0.0
-2.20048e-08	-93.0	2.79035e-10	0.0
-2.28596e-08	-94.0	2.80625e-10	0.0
-2.36714e-08	-95.0	2.86526e-10	0.0
-2.45368e-08	-96.0	2.90431e-10	0.0
-2.54285e-08	-97.0	2.94175e-10	0.0
-2.6325e-08	-98.0	2.98371e-10	0.0
-2.72083e-08	-99.0	3.02578e-10	0.0
-2.81012e-08	-100.0	3.06167e-10	0.0
2.02656e-10	0.0	-7.95824e-11	-30.0
1.49012e-10	-1.0	-7.77273e-11	-30.0
1.33514e-10	-2.0	-6.42877e-11	-30.0
1.21593e-10	-3.0	-5.85478e-11	-30.0
1.21593e-10	-4.0	-5.74594e-11	-30.0
8.34465e-11	-5.0	-4.61778e-11	-30.0
1.01328e-10	-6.0	-5.09144e-11	-30.0
8.46386e-11	-7.0	-3.98438e-11	-30.0
9.17912e-11	-8.0	-4.30613e-11	-30.0
7.39098e-11	-9.0	-4.09199e-11	-30.0
7.98702e-11	-10.0	-3.40123e-11	-30.0
5.60284e-11	-11.0	-3.80974e-11	-30.0
6.07967e-11	-12.0	-2.97848e-11	-30.0
6.31809e-11	-13.0	-3.71917e-11	-30.0
5.84126e-11	-14.0	-2.67131e-11	-30.0
4.52995e-11	-15.0	-3.32544e-11	-30.0
5.72205e-11	-16.0	-3.15195e-11	-30.0
6.91414e-11	-17.0	-2.51451e-11	-30.0
6.31809e-11	-18.0	-3.20059e-11	-30.0
4.29153e-11	-19.0	-2.27993e-11	-30.0
6.4373e-11	-20.0	-3.0955e-11	-30.0
5.96046e-11	-21.0	-2.15191e-11	-30.0
4.88758e-11	-22.0	-2.97276e-11	-30.0
5.96046e-11	-23.0	-2.68828e-11	-30.0
7.03335e-11	-24.0	-2.14909e-11	-30.0
7.15256e-11	-25.0	-2.79151e-11	-30.0
5.84126e-11	-26.0	-1.92895e-11	-30.0
4.64916e-11	-27.0	-2.75374e-11	-30.0
5.24521e-11	-28.0	-1.96305e-11	-30.0
5.36442e-11	-29.0	-2.55691e-11	-30.0
3.45707e-11	-30.0	-2.48039e-11	-30.0
5.48363e-11	-31.0	-1.94929e-11	-30.0
5.60284e-11	-32.0	-2.56859e-11	-30.0
3.8147e-11	-33.0	-1.70292e-11	-30.0
3.69549e-11	-34.0	-2.58125e-11	-30.0
5.24521e-11	-35.0	-1.81603e-11	-30.0
2.5034e-11	-36.0	-2.18745e-11	-30.0
4.17232e-11	-37.0	-2.29272e-11	-30.0
3.33786e-11	-38.0	-1.64945e-11	-30.0
4.29153e-11	-39.0	-2.3392e-11	-30.0
5.36442e-11	-40.0	-1.51293e-11	-30.0
3.8147e-11	-41.0	-2.38234e-11	-30.0
3.09944e-11	-42.0	-1.49896e-11	-30.0
3.09944e-11	-43.0	-2.08212e-11	-30.0
4.52995e-11	-44.0	-2.05534e-11	-30.0
5.60284e-11	-45.0	-1.52293e-11	-30.0
3.09944e-11	-46.0	-2.25657e-11	-30.0
4.52995e-11	-47.0	-1.26301e-11	-30.0
4.52995e-11	-48.0	-2.14082e-11	-30.0
4.88758e-11	-49.0	-1.39282e-11	-30.0
4.41074e-11	-50.0	-1.6027e-11	-30.0
4.52995e-11	-51.0	-1.77698e-11	-30.0
4.52995e-11	-52.0	-1.17392e-11	-30.0
4.17232e-11	-53.0	-1.76958e-11	-30.0
2.98023e-11	-54.0	-8.68273e-12	-30.0
3.45707e-11	-55.0	-1.70749e-11	-30.0
1.78814e-11	-56.0	-1.00806e-11	-30.0
2.02656e-11	-57.0	-9.9807e-12	-30.0
3.45707e-11	-58.0	-1.28338e-11	-30.0
5.60284e-11	-59.0	-5.88602e-12	-30.0
4.17232e-11	-60.0	-1.19311e-11	-30.0
4.17232e-11	-61.0	-3.22286e-12	-30.0
6.19888e-11	-62.0	-1.16166e-11	-30.0
3.09944e-11	-63.0	-2.81968e-12	-30.0
3.33786e-11	-64.0	-7.18299e-12	-30.0
4.64916e-11	-65.0	-8.11508e-12	-30.0
3.69549e-11	-66.0	-1.66141e-12	-30.0
5.72205e-11	-67.0	-8.75059e-12	-30.0
5.00679e-11	-68.0	5.91266e-13	-30.0
2.98023e-11	-69.0	-8.19944e-12	-30.0
3.57628e-11	-70.0	-1.32815e-12	-30.0
4.17232e-11	-71.0	-4.33798e-12	-30.0
4.64916e-11	-72.0	-2.72521e-12	-30.0
2.74181e-11	-73.0	5.12732e-12	-30.0
2.98023e-11	-74.0	8.88526e-13	-30.0
1.3113e-11	-75.0	1.23658e-11	-30.0
8.34465e-12	-76.0	6.82504e-12	-30.0
-2.38419e-12	-77.0	1.61242e-11	-30.0
-7.15256e-12	-78.0	2.38433e-11	-30.0
3.57628e-12	-79.0	2.50948e-11	-30.0
-1.78814e-11	-80.0	3.78436e-11	-30.0
-2.5034e-11	-81.0	3.82261e-11	-30.0
-5.96046e-11	-82.0	5.39791e-11	-30.0
-9.29832e-11	-83.0	5.25198e-11	-30.0
-1.19209e-10	-84.0	6.48262e-11	-30.0
-1.5378e-10	-85.0	6.51696e-11	-30.0
-2.07424e-10	-86.0	6.42186e-11	-30.0
-2.87294e-10	-87.0	7.09226e-11	-30.0
-3.60012e-10	-88.0	6.08131e-11	-30.0
-4.52995e-10	-89.0	7.02783e-11	-30.0
-5.85318e-10	-90.0	6.53477e-11	-30.0
-7.236e-10	-91.0	7.78746e-11	-30.0
-8.51154e-10	-92.0	7.673e-11	-30.0
-1.02043e-09	-93.0	7.92983e-11	-30.0
-1.21355e-09	-94.0	9.05276e-11	-30.0
-1.42574e-09	-95.0	8.50502e-11	-30.0
-1.68085e-09	-96.0	9.8164e-11	-30.0
-1.95146e-09	-97.0	9.24846e-11	-30.0
-2.21729e-09	-98.0	9.78933e-11	-30.0
-2.56062e-09	-99.0	9.83573e-11	-30.0
-2.91824e-09	-100.0	9.60629e-11	-30.0
2.09808e-10	0.0	-1.37736e-10	-60.0
1.50204e-10	-1.0	-1.25389e-10	-60.0
1.0252e-10	-2.0	-1.17301e-10	-60.0
7.15256e-11	-3.0	-1.10598e-10	-60.0
2.38419e-11	-4.0	-1.04381e-10	-60.0
8.34465e-12	-5.0	-9.75194e-11	-60.0
-2.86102e-11	-6.0	-9.24049e-11	-60.0
-4.17232e-11	-7.0	-8.13888e-11	-60.0
-1.04904e-10	-8.0	-8.39297e-11	-60.0
-1.04904e-10	-9.0	-7.08535e-11	-60.0
-1.26362e-10	-10.0	-7.71646e-11	-60.0
-1.51396e-10	-11.0	-6.72953e-11	-60.0
-1.75238e-10	-12.0	-6.83202e-11	-60.0
-1.68085e-10	-13.0	-6.5167e-11	-60.0
-1.9908e-10	-14.0	-5.65071e-11	-60.0
-1.91927e-10	-15.0	-6.18763e-11	-60.0
-2.50339e-10	-16.0	-4.95823e-11	-60.0
-2.6226e-10	-17.0	-5.6515e-11	-60.0
-2.81334e-10	-18.0	-5.05753e-11	-60.0
-2.63453e-10	-19.0	-4.5719e-11	-60.0
-2.99215e-10	-20.0	-4.84721e-11	-60.0
-2.98023e-10	-21.0	-4.10583e-11	-60.0
-2.99215e-10	-22.0	-4.60665e-11	-60.0
-3.37362e-10	-23.0	-3.67554e-11	-60.0
-3.3021e-10	-24.0	-4.43591e-11	-60.0
-3.39746e-10	-25.0	-3.74184e-11	-60.0
-3.68357e-10	-26.0	-3.67656e-11	-60.0
-3.43323e-10	-27.0	-3.83675e-11	-60.0
-3.70741e-10	-28.0	-3.06797e-11	-60.0
-3.86238e-10	-29.0	-3.87138e-11	-60.0
-3.89814e-10	-30.0	-2.86523e-11	-60.0
-3.85046e-10	-31.0	-3.65825e-11	-60.0
-4.06504e-10	-32.0	-2.8231e-11	-60.0
-3.93391e-10	-33.0	-3.14212e-11	-60.0
-4.1008e-10	-34.0	-3.30739e-11	-60.0
-4.30346e-10	-35.0	-2.50602e-11	-60.0
-4.19617e-10	-36.0	-3.37696e-11	-60.0
-4.18425e-10	-37.0	-2.35988e-11	-60.0
-4.27961e-10	-38.0	-3.11857e-11	-60.0
-4.54187e-10	-39.0	-2.9305e-11	-60.0
-4.39882e-10	-40.0	-2.59293e-11	-60.0
-4.51803e-10	-41.0	-2.95125e-11	-60.0
-4.45843e-10	-42.0	-2.30477e-11	-60.0
-4.50611e-10	-43.0	-2.93414e-11	-60.0
-4.36306e-10	-44.0	-2.0621e-11	-60.0
-4.43459e-10	-45.0	-2.86268e-11	-60.0
-4.27961e-10	-46.0	-2.43425e-11	-60.0
-4.52995e-10	-47.0	-2.26764e-11	-60.0
-4.64916e-10	-48.0	-2.84611e-11	-60.0
-4.52995e-10	-49.0	-2.07758e-11	-60.0
-4.33922e-10	-50.0	-2.91167e-11	-60.0
-4.37498e-10	-51.0	-2.00117e-11	-60.0
-4.55379e-10	-52.0	-2.98305e-11	-60.0
-4.60148e-10	-53.0	-2.40447e-11	-60.0
-4.47035e-10	-54.0	-2.32856e-11	-60.0
-4.58956e-10	-55.0	-2.79264e-11	-60.0
-4.43459e-10	-56.0	-2.06217e-11	-60.0
-4.45843e-10	-57.0	-2.90832e-11	-60.0
-4.55379e-10	-58.0	-2.04692e-11	-60.0
-4.52995e-10	-59.0	-2.7071e-11	-60.0
-4.63724e-10	-60.0	-2.57607e-11	-60.0
-4.66108e-10	-61.0	-2.16396e-11	-60.0
-4.56572e-10	-62.0	-2.66271e-11	-60.0
-4.39882e-10	-63.0	-2.02372e-11	-60.0
-4.50611e-10	-64.0	-2.91499e-11	-60.0
-4.74453e-10	-65.0	-1.94072e-11	-60.0
-4.39882e-10	-66.0	-2.73721e-11	-60.0
-4.50611e-10	-67.0	-2.62421e-11	-60.0
-4.74453e-10	-68.0	-2.08237e-11	-60.0
-4.64916e-10	-69.0	-2.72398e-11	-60.0
-4.68493e-10	-70.0	-1.93002e-11	-60.0
-4.6134e-10	-71.0	-2.82332e-11	-60.0
-4.69685e-10	-72.0	-1.82118e-11	-60.0
-4.60148e-10	-73.0	-2.75229e-11	-60.0
-4.55379e-10	-74.0	-2.44668e-11	-60.0
-4.66108e-10	-75.0	-2.04232e-11	-60.0
-4.673e-10	-76.0	-2.59775e-11	-60.0
-4.58956e-10	-77.0	-1.89262e-11	-60.0
-4.64916e-10	-78.0	-2.75321e-11	-60.0
-4.63724e-10	-79.0	-1.89948e-11	-60.0
-4.50611e-10	-80.0	-2.59064e-11	-60.0
-4.73261e-10	-81.0	-2.30008e-11	-60.0
-4.57764e-10	-82.0	-2.09551e-11	-60.0
-4.73261e-10	-83.0	-2.48921e-11	-60.0
-4.74453e-10	-84.0	-1.7291e-11	-60.0
-4.81606e-10	-85.0	-2.55404e-11	-60.0
-4.75645e-10	-86.0	-1.62065e-11	-60.0
-4.50611e-10	-87.0	-2.32393e-11	-60.0
-4.54187e-10	-88.0	-2.29468e-11	-60.0
-4.80413e-10	-89.0	-1.61212e-11	-60.0
-4.76837e-10	-90.0	-2.22125e-11	-60.0
-4.70877e-10	-91.0	-1.46315e-11	-60.0
-4.73261e-10	-92.0	-2.15829e-11	-60.0
-4.673e-10	-93.0	-1.28933e-11	-60.0
-4.66108e-10	-94.0	-2.03031e-11	-60.0
-4.66108e-10	-95.0	-1.7775e-11	-60.0
-4.51803e-10	-96.0	-1.23365e-11	-60.0
-4.74453e-10	-97.0	-1.76314e-11	-60.0
-4.80413e-10	-98.0	-8.65781e-12	-60.0
-4.75645e-10	-99.0	-1.55207e-11	-60.0
-4.8399e-10	-100.0	-4.83227e-12	-60.0
2.37226e-10	0.0	-1.96398e-10	-90.0
1.3113e-10	-1.0	-1.81239e-10	-90.0
6.19888e-11	-2.0	-1.70491e-10	-90.0
-1.19209e-11	-3.0	-1.6106e-10	-90.0
-6.91414e-11	-4.0	-1.52815e-10	-90.0
-1.45435e-10	-5.0	-1.45687e-10	-90.0
-2.16961e-10	-6.0	-1.38321e-10	-90.0
-2.51532e-10	-7.0	-1.32673e-10	-90.0
